time,seconds_elapsed,bpm
1718311478619951400,390.01795141601565,160
1718311485619951400,397.01795141601565,159
1718311488619951400,400.01795141601565,159
1718311493619951400,405.01795141601565,159
1718311502619951400,414.01795141601565,161
1718311503619951400,415.01795141601565,161
1718311511619951400,423.01795141601565,161
1718311517619951400,429.01795141601565,161
1718311522619951400,434.01795141601565,161
1718311524619951400,436.01795141601565,161
1718311529619951400,441.01795141601565,161
1718311537619951400,449.01795141601565,162
1718311538619951400,450.01795141601565,162
1718311546619951400,458.01795141601565,161
1718311549619951400,461.01795141601565,162
1718311556619951400,468.01795141601565,163
1718311562619951400,474.01795141601565,165
1718311565619951400,477.01795141601565,165
1718311569619951400,481.01795141601565,164
1718311573619951400,485.01795141601565,164
1718311581619951400,493.01795141601565,162
1718311583619951400,495.01795141601565,161
1718311589619951400,501.01795141601565,158
1718311597619951400,509.01795141601565,157
1718311602619951400,514.0179514160156,158
1718311606619951400,518.0179514160156,158
1718311608619951400,520.0179514160156,158
1718311617619951400,529.0179514160156,158
1718311622619951400,534.0179514160156,159
1718311627619951400,539.0179514160156,159
1718311631619951400,543.0179514160156,159
1718311635619951400,547.0179514160156,159
1718311640619951400,552.0179514160156,158
1718311643619951400,555.0179514160156,157
1718311652619951400,564.0179514160156,157
1718311654619951400,566.0179514160156,157
1718311662619951400,574.0179514160156,158
1718311663619951400,575.0179514160156,158
1718311670619951400,582.0179514160156,156
1718311677619951400,589.0179514160156,156
1718311681619951400,593.0179514160156,157
1718311685619951400,597.0179514160156,157
1718311688619951400,600.0179514160156,158
1718311695619951400,607.0179514160156,159
1718311699619951400,611.0179514160156,159
1718311707619951400,619.0179514160156,158
1718311708619951400,620.0179514160156,158
1718311713619951400,625.0179514160156,159
1718311722619951400,634.0179514160156,157
1718311724619951400,636.0179514160156,157
1718311731619951400,643.0179514160156,157
1718311733619951400,645.0179514160156,157
1718311742619951400,654.0179514160156,156
1718311744619951400,656.0179514160156,156
1718311748619951400,660.0179514160156,155
1718311755619951400,667.0179514160156,154.00000000000003
1718311758619951400,670.0179514160156,154.00000000000003
1718311767619951400,679.0179514160156,153
1718311768619951400,680.0179514160156,153
1718311775619951400,687.0179514160156,154.00000000000003
1718311778619951400,690.0179514160156,154.00000000000003
1718311784619951400,696.0179514160156,152
1718311790619951400,702.0179514160156,152
1718311797619951400,709.0179514160156,153
1718311799619951400,711.0179514160156,153
1718311805619951400,717.0179514160156,153
1718311808619951400,720.0179514160156,154.00000000000003
1718311816619951400,728.0179514160156,155
1718311818619951400,730.0179514160156,154.00000000000003
1718311824619951400,736.0179514160156,152
1718311830619951400,742.0179514160156,153
1718311834619951400,746.0179514160156,152
1718311839619951400,751.0179514160156,152
1718311844619951400,756.0179514160156,154.00000000000003
1718311850619951400,762.0179514160156,154.00000000000003
1718311857619951400,769.0179514160156,151
1718311861619951400,773.0179514160156,151
1718311865619951400,777.0179514160156,152
1718311868619951400,780.0179514160156,152
1718311875619951400,787.0179514160156,155
1718311882619951400,794.0179514160156,156
1718311883619951400,795.0179514160156,156
1718311892619951400,804.0179514160156,154.00000000000003
1718311897619951400,809.0179514160156,154.00000000000003
1718311898619951400,810.0179514160156,154.00000000000003
1718311903619951400,815.0179514160156,152
1718311912619951400,824.0179514160156,153
1718311916619951400,828.0179514160156,153
1718311921619951400,833.0179514160156,154.00000000000003
1718311927619951400,839.0179514160156,154.00000000000003
1718311932619951400,844.0179514160156,153
1718311936619951400,848.0179514160156,154.00000000000003
1718311939619951400,851.0179514160156,155
1718311944619951400,856.0179514160156,154.00000000000003
1718311949619951400,861.0179514160156,154.00000000000003
1718311956619951400,868.0179514160156,155
1718311962619951400,874.0179514160156,156
1718311967619951400,879.0179514160156,157
1718311968619951400,880.0179514160156,157
1718311976619951400,888.0179514160156,160
1718311982619951400,894.0179514160156,160
1718311985619951400,897.0179514160156,159
1718311992619951400,904.0179514160156,159
1718311993619951400,905.0179514160156,159
1718312001619951400,913.0179514160156,159
1718312007619951400,919.0179514160156,158
1718312009619951400,921.0179514160156,158
1718312017619951400,929.0179514160156,159
1718312021619951400,933.0179514160156,160
1718312025619951400,937.0179514160156,161
1718312031619951400,943.0179514160156,161
1718312037619951400,949.0179514160156,161
1718312038619951400,950.0179514160156,161
1718312044619951400,956.0179514160156,162
1718312048619951400,960.0179514160156,161
1718312053619951400,965.0179514160156,160
1718312059619951400,971.0179514160156,157
1718312067619951400,979.0179514160156,154.00000000000003
1718312071619951400,983.0179514160156,154.00000000000003
1718312075619951400,987.0179514160156,155
1718312078619951400,990.0179514160156,155
1718312086619951400,998.0179514160156,154.00000000000003
1718312089619951400,1001.0179514160156,154.00000000000003
1718312097619951400,1009.0179514160156,155
1718312100619951400,1012.0179514160156,155
1718312107619951400,1019.0179514160156,154.00000000000003
1718312110619951400,1022.0179514160156,154.00000000000003
1718312115619951400,1027.0179514160156,156
1718312119619951400,1031.0179514160156,156
1718312125619951400,1037.0179514160156,157
1718312128619951400,1040.0179514160156,156
1718312137619951400,1049.0179514160156,155
1718312140619951400,1052.0179514160156,155
1718312146619951400,1058.0179514160156,157
1718312151619951400,1063.0179514160156,157
1718312153619951400,1065.0179514160156,157
1718312161619951400,1073.0179514160156,157
1718312163619951400,1075.0179514160156,157
1718312168619951400,1080.0179514160156,155
1718312176619951400,1088.0179514160156,154.00000000000003
1718312178619951400,1090.0179514160156,154.00000000000003
1718312183619951400,1095.0179514160156,154.00000000000003
1718312190619951400,1102.0179514160156,156
1718312196619951400,1108.0179514160156,156
1718312198619951400,1110.0179514160156,155
1718312207619951400,1119.0179514160156,157
1718312210619951400,1122.0179514160156,157
1718312213619951400,1125.0179514160156,157
1718312218619951400,1130.0179514160156,156
1718312225619951400,1137.0179514160156,157
1718312231619951400,1143.0179514160156,157
1718312234619951400,1146.0179514160156,158
1718312242619951400,1154.0179514160156,160
1718312244619951400,1156.0179514160156,160
1718312248619951400,1160.0179514160156,159
1718312257619951400,1169.0179514160156,158
1718312261619951400,1173.0179514160156,158
1718312266619951400,1178.0179514160156,158
1718312272619951400,1184.0179514160156,159
1718312276619951400,1188.0179514160156,160
1718312281619951400,1193.0179514160156,158
1718312286619951400,1198.0179514160156,159
1718312288619951400,1200.0179514160156,160
1718312295619951400,1207.0179514160156,161
1718312298619951400,1210.0179514160156,160
