time,seconds_elapsed,bpm
1718453168464057000,1363.8600571289062,105
1718453174464057000,1369.8600571289062,104
1718453182464057000,1377.8600571289062,102
1718453186464057000,1381.8600571289062,103
1718453192464057000,1387.8600571289062,98
1718453194464057000,1389.8600571289062,98
1718453200464057000,1395.8600571289062,105
1718453203464057000,1398.8600571289062,100
1718453212464057000,1407.8600571289062,99
1718453217464057000,1412.8600571289062,93
1718453222464057000,1417.8600571289062,95
1718453225464057000,1420.8600571289062,94
1718453231464057000,1426.8600571289062,97
1718453233464057000,1428.8600571289062,98
1718453241464057000,1436.8600571289062,98
1718453243464057000,1438.8600571289062,97
1718453248464057000,1443.8600571289062,96
